metricTons	gasName	state	year
159676934.5	Carbon Dioxide	IN	2011
133111693.355	Carbon Dioxide	LA	2011
8507666.1	Carbon Dioxide	CT	2011
89129371.7877892	Carbon Dioxide	MI	2011
3986492.202	Methane	NY	2011
2932346.81	Nitrous Oxide	TX	2011
19489860.1	Carbon Dioxide	AK	2011
5297709.69	Methane	IN	2011
7971810.399	Methane	NM	2011
5843702.466	Methane	AL	2011
96087876.0729086	Carbon Dioxide	CA	2011
92268120.168972	Carbon Dioxide	MO	2011
2084108.46	Methane	WI	2011
21415655	Carbon Dioxide	MT	2011
6661415	Biogenic CO2	ME	2011
2050412.28	Methane	WA	2011
33065590.92	Carbon Dioxide	MS	2011
3911708.9	Biogenic CO2	TN	2011
1348467.1	Biogenic CO2	NJ	2011
11305	PFCs	ID	2011
520153.2	Methane	ID	2011
3396034.3	Biogenic CO2	PA	2011
182641.41	Sulfur Hexafluoride	AZ	2011
4431249.6	Biogenic CO2	MN	2011
19327.26	Nitrous Oxide	VT	2011
4143958.9	Biogenic CO2	WI	2011
37064874.54	Carbon Dioxide	MS	2010
158289561.3	Carbon Dioxide	IN	2010
1598846.97	Methane	SC	2011
2310934.332	Methane	LA	2010
1651005.09	Methane	WI	2010
58813307.6	Carbon Dioxide	AZ	2010
1080094.3	Biogenic CO2	NJ	2010
1895658.597	Methane	KY	2010
440455.6	Biogenic CO2	IL	2010
222251.87649	Methane	NV	2010
1245906.74	Nitrous Oxide	IA	2010
2810848.08	Carbon Dioxide	ID	2010
6542650.5	Biogenic CO2	AR	2010
145105.59	Methane	VT	2011
59639882.1	Carbon Dioxide	IA	2010
579036.927	Methane	NM	2010
1209518.9	Biogenic CO2	OH	2011
17304.21	Methane	VI	2010
17696753.8	Carbon Dioxide	PR	2010
1598068.2	Biogenic CO2	MD	2010
114863.06	Nitrous Oxide	ME	2010
9702.2	Biogenic CO2	AK	2010
578421	Carbon Dioxide	DC	2010
435277.92	Methane	MT	2011
130339.4	Biogenic CO2	MO	2011
223682.49	Sulfur Hexafluoride	PA	2011
50474.82	Nitrous Oxide	PR	2010
5415787.1	Carbon Dioxide	VI	2011
31778.6	Biogenic CO2	AZ	2011
1245.28	Nitrogen Triflouride	NC	2011
41215.55	Sulfur Hexafluoride	OR	2011
12206.56	Nitrous Oxide	VI	2010
1147767.37	PFCs	KY	2011
3856.2	Fluorinated GHG Production (CO2)	TX	2011
9309.625	HFCs	VA	2011
1789.065	HFCs	ME	2011
69828.63	Sulfur Hexafluoride	MO	2011
11513.955	HFCs	OR	2011
373877.9	Biogenic CO2	VT	2011
236055.7	Carbon Dioxide	GU	2011
8307.6	Nitrogen Triflouride	CO	2011
66474.6	Biogenic CO2	UT	2011
18775.84	Sulfur Hexafluoride	IA	2011
16.38	HFCs	WV	2010
212190.28	PFCs	VT	2011
138696.78	Fluorinated GHG Production (CO2)	NJ	2011
56382.49	Sulfur Hexafluoride	DE	2011
65531.41	Sulfur Hexafluoride	KS	2011
98930.96	Nitrogen Triflouride	VA	2011
431437.23	Nitrous Oxide	NC	2011
4641514.984	Methane	LA	2011
1004403.35381858	Nitrous Oxide	OH	2011
7619148.8	Biogenic CO2	NC	2011
3801418.389049	Biogenic CO2	MI	2011
15768194	Biogenic CO2	GA	2011
175161.16	Nitrous Oxide	NM	2011
687805.68	Nitrous Oxide	PA	2011
1113058.41	Nitrous Oxide	GA	2011
149966.46	Methane	SD	2011
50756.405	HFCs	TX	2011
2572176.47	Carbon Dioxide	ID	2011
8944902.1377	Carbon Dioxide	OR	2011
5346500.4	Biogenic CO2	TX	2011
133705392.3	Carbon Dioxide	FL	2010
5359397.03355	Methane	OH	2010
1617590.1	Methane	SC	2010
6713535.3	Biogenic CO2	ME	2010
362619.4	Nitrous Oxide	KS	2010
27160.96	Nitrous Oxide	NH	2010
1085742.168	Methane	CO	2010
23656469.41	Carbon Dioxide	WA	2010
93884402.991444	Carbon Dioxide	MI	2010
29899920.3	Carbon Dioxide	NE	2010
44000548.92	Carbon Dioxide	VA	2010
2850277.71	Methane	VA	2010
1487182.83	Methane	AZ	2010
5614455.9	Biogenic CO2	VA	2010
5323.5	HFCs	AL	2010
591439.08	Nitrous Oxide	KY	2010
4232740.89	Methane	GA	2010
696995.92032	Methane	MN	2010
639951.438	Methane	UT	2010
5979085.2	Carbon Dioxide	SD	2010
13755305.7	Biogenic CO2	FL	2010
826871.9	Biogenic CO2	NH	2011
966219.45	Methane	WA	2010
54074982.73	Carbon Dioxide	TN	2010
15248.2	Sulfur Hexafluoride	SC	2011
873922.62	Sulfur Hexafluoride	OH	2011
105512.84	Nitrous Oxide	OR	2011
279443.01	Methane	NH	2010
12407.13	Nitrous Oxide	VI	2011
134096.55	Methane	SD	2010
122760.93	Nitrous Oxide	ME	2011
198111.88	Sulfur Hexafluoride	CO	2011
7066.8	HFCs	CO	2011
33116.9	Biogenic CO2	AZ	2010
262576.65	Methane	HI	2010
630.848	HFCs	ID	2011
6797.44	Nitrogen Triflouride	NY	2011
2323.76	Nitrous Oxide	GU	2010
60333	Biogenic CO2	DE	2011
82332.588	Fluorinated GHG Production (CO2)	NC	2011
303120	PFCs	OH	2010
6087.33	Sulfur Hexafluoride	NE	2011
428286.7	Biogenic CO2	VT	2010
8227.0628	HFCs	VT	2011
174798	Biogenic CO2	MT	2011
178.535	HFCs	NY	2011
3265137.72	HFCs	KY	2010
284987	Carbon Dioxide	GU	2010
11.5	Biogenic CO2	WV	2010
97758.4	Biogenic CO2	NE	2011
130810611.604084	Carbon Dioxide	IL	2011
265641.76	Nitrous Oxide	WY	2011
1544655.924	Methane	MD	2011
282577.4	Nitrous Oxide	UT	2011
17709202.59004	Carbon Dioxide	NV	2011
6803824.9	Biogenic CO2	AR	2011
737032.13	Nitrous Oxide	AL	2011
29199497.57	Carbon Dioxide	MD	2011
53080444	Carbon Dioxide	WI	2011
713910.47	Nitrous Oxide	AZ	2011
1008693.84	Methane	OR	2011
590213.96	Nitrous Oxide	IN	2011
5352500.8	Carbon Dioxide	SD	2011
19244.49	Nitrous Oxide	SD	2011
266092.78227	Methane	NV	2011
1339442.37	Methane	AZ	2011
48259.87	Nitrous Oxide	PR	2011
1784016.6573306	Methane	MO	2011
4531964.22	Methane	GA	2011
361565.421	Methane	CT	2011
69262.2	Sulfur Hexafluoride	WA	2011
390193.3	Biogenic CO2	IA	2011
56397.08	Nitrogen Triflouride	OR	2011
723088.95	Nitrous Oxide	AR	2010
2384214.126	Methane	AL	2010
163392.63	Nitrous Oxide	ND	2010
54295271.918546	Carbon Dioxide	WI	2010
206628.64	Nitrous Oxide	CO	2010
89755012.98	Carbon Dioxide	GA	2010
264433.1	Nitrous Oxide	UT	2010
31981012.93	Carbon Dioxide	MD	2010
883064.10559	Nitrous Oxide	IL	2010
1324720.446	Methane	MD	2010
1013268.27	Methane	IA	2010
850824.45	Nitrous Oxide	MO	2010
2088678.753	Methane	MO	2010
385.14	Methane	DC	2010
48916951.093	Carbon Dioxide	CO	2010
115943.604	Methane	DE	2010
794101.7	Biogenic CO2	IN	2010
76621607.09	Carbon Dioxide	NC	2010
135854.09	Nitrous Oxide	NE	2010
4513695.4264689	Methane	MI	2010
3767648.1	Carbon Dioxide	RI	2011
2152.02	Nitrous Oxide	RI	2011
12501321	Carbon Dioxide	OR	2010
87554.54	Nitrous Oxide	MA	2010
10125105.6	Biogenic CO2	LA	2011
6360531.2	Biogenic CO2	WA	2010
1841203.3	Biogenic CO2	MA	2011
220202.556	Methane	CT	2010
12334.425	HFCs	AZ	2011
739.41	Methane	GU	2011
265081.32	Methane	RI	2011
4598582.8	Carbon Dioxide	DE	2010
1587436.7	Biogenic CO2	OK	2010
22996	PFCs	NY	2010
112507.1	Biogenic CO2	CO	2011
3081319.02	HFCs	LA	2010
552.09	Sulfur Hexafluoride	AR	2011
9729.72	HFCs	OH	2011
4808.7	HFCs	AL	2011
27565.65	Methane	VI	2011
96505.81	Sulfur Hexafluoride	DC	2011
40424.46	Sulfur Hexafluoride	ID	2011
452920	PFCs	OH	2011
6550	Biogenic CO2	DC	2011
597678.594993151	Nitrous Oxide	KY	2011
297414	Nitrous Oxide	WI	2011
99905233.541	Carbon Dioxide	AL	2011
7705401.87034333	Methane	IL	2011
2954349.552	Methane	TN	2011
404488342.109	Carbon Dioxide	TX	2011
